locus_tag,substrate,genome
ASS_004_S2_01622,zinc|deoxycholate|l-cysteine|sulfate|cupper|sodium,Varoivorax
ASS_004_S2_01704,iron|succinate,Varoivorax
ASS_004_S2_01742,phosphate|d-fructose,Varoivorax
ASS_004_S2_01759,phosphate,Varoivorax
ASS_004_S2_01797,proline|glycine|leucine|serine|histidine|alanine,Varoivorax
ASS_004_S2_01798,carnitine|crotonobetaine,Varoivorax
ASS_004_S2_01834,zinc,Varoivorax
ASS_004_S2_01837,rhamnose,Varoivorax
ASS_004_S2_01837,rhamnose,Varoivorax
ASS_004_S2_01838,methionine,Varoivorax
ASS_004_S2_01838,methionine,Varoivorax
ASS_004_S2_01880,pyruvate,Varoivorax
ASS_004_S2_01890,molybdate,Varoivorax
ASS_004_S2_01927,potassium|sodium,Varoivorax
ASS_004_S2_01928,chloride,Varoivorax
ASS_004_S2_02022,arsenite|arsenate,Varoivorax
ASS_004_S2_02069,choline|glycine|betaine|l-proline,Varoivorax
ASS_004_S2_02069,choline|glycine|betaine|l-proline,Varoivorax
ASS_004_S2_02075,sodium,Varoivorax
ASS_004_S2_02075,sodium,Varoivorax
ASS_004_S2_02097,sulfate|thiamine|chloride|sodium,Varoivorax
ASS_004_S2_02165,heme,Varoivorax
ASS_004_S2_02166,iron|molybdate,Varoivorax
ASS_004_S2_02167,iron,Varoivorax
ASS_004_S2_02199,sulfate,Varoivorax
ASS_004_S2_02216,iron,Varoivorax
ASS_004_S2_02267,asparagine|glutamate|aspartate|glutamine,Varoivorax
ASS_004_S2_02267,asparagine|glutamate|aspartate|glutamine,Varoivorax
ASS_004_S2_02304,glycerol|phosphate|trehalose|glucose,Varoivorax
ASS_004_S2_02332,cysteine,Varoivorax
ASS_004_S2_02357,cysteine|chloride|uridine|sulfate|sodium|deoxyuridine,Varoivorax
ASS_004_S2_02363,mannose,Varoivorax
ASS_004_S2_02478,arabinose|glucose|xylose|ribose,Varoivorax
ASS_004_S2_02616,zinc,Varoivorax
ASS_004_S2_02671,zinc,Varoivorax
ASS_004_S2_02714,sodium,Varoivorax
ASS_004_S2_02714,sodium,Varoivorax
ASS_004_S2_02759,trehalose,Varoivorax
ASS_004_S2_02759,trehalose,Varoivorax
ASS_004_S2_02760,mannose|glucose|galactose,Varoivorax
ASS_004_S2_02792,citrate,Varoivorax
ASS_004_S2_02818,potassium,Varoivorax
ASS_004_S2_02837,proline|glycine|betaine|l-proline|choline|alanine,Varoivorax
ASS_004_S2_02865,acetate,Varoivorax
ASS_004_S2_02871,chloride,Varoivorax
ASS_004_S2_02875,cyanocob(iii)alamin,Varoivorax
ASS_004_S2_02875,cyanocob(iii)alamin,Varoivorax
ASS_004_S2_02876,iron,Varoivorax
ASS_004_S2_02877,iron|manganese,Varoivorax
ASS_004_S2_02894,zinc|chloride|deoxycholate|sulfate|cupper|sodium|thiamine,Varoivorax
ASS_004_S2_02953,zinc,Varoivorax
ASS_004_S2_02994,cytidine,Varoivorax
ASS_004_S2_03078,calcium,Varoivorax
ASS_004_S2_03087,sodium,Varoivorax
ASS_004_S2_03103,arabinose,Varoivorax
ASS_004_S2_03145,sulfate|zinc|chloride|sodium,Varoivorax
ASS_004_S2_03146,l-cysteine|chloride,Varoivorax
ASS_004_S2_03208,cupper,Varoivorax
ASS_004_S2_03381,butyrate,Varoivorax
ASS_004_S2_03410,nickel,Varoivorax
ASS_004_S2_03450,l-histidine,Varoivorax
ASS_004_S2_03478,l-cysteine,Varoivorax
ASS_004_S2_03481,sulfate,Varoivorax
ASS_004_S2_03483,thiosulfate|sulfate,Varoivorax
ASS_004_S2_03483,thiosulfate|sulfate,Varoivorax
ASS_004_S2_03516,taurine,Varoivorax
ASS_004_S2_03521,thiosulfate|sulfate|sodium,Varoivorax
ASS_004_S2_03548,maltose,Varoivorax
ASS_004_S2_03548,maltose,Varoivorax
ASS_004_S2_03548,maltose,Varoivorax
ASS_004_S2_03550,nickel,Varoivorax
ASS_004_S2_03551,nickel,Varoivorax
ASS_004_S2_03643,pyrophosphate,Varoivorax
ASS_004_S2_03661,zinc,Varoivorax
ASS_004_S2_03689,chloride,Varoivorax
ASS_004_S2_03693,phosphate,Varoivorax
ASS_004_S2_03733,betaine|l-proline,Varoivorax
ASS_004_S2_03733,betaine|l-proline,Varoivorax
ASS_004_S2_03860,iron,Varoivorax
ASS_004_S2_03868,sodium,Varoivorax
ASS_004_S2_03884,sodium,Varoivorax
ASS_004_S2_03929,chloride|deoxycholate|sulfate|sodium|thiamine,Varoivorax
ASS_004_S2_03956,glutamate|malate|benzoate|acetate|succinate|fumarate|aspartate,Varoivorax
ASS_004_S2_04121,glucose,Varoivorax
ASS_004_S2_04126,arabinose|deoxycholate|histidine|lysine|arginine,Varoivorax
ASS_004_S2_04144,iron,Varoivorax
ASS_004_S2_04162,nitrate,Varoivorax
ASS_004_S2_04162,nitrate,Varoivorax
ASS_004_S2_04165,nitrate,Varoivorax
ASS_004_S2_04183,sodium,Varoivorax
ASS_004_S2_04187,molybdate,Varoivorax
ASS_004_S2_04201,zinc|cobalt|cupper|cadmium|nickel,Varoivorax
ASS_004_S2_04202,zinc|cobalt|cadmium,Varoivorax
ASS_004_S2_04217,zinc|mercury|cobalt|lead|cupper|calcium|cadmium|nickel,Varoivorax
ASS_004_S2_04275,zinc|chloride|deoxycholate|sulfate|cupper|sodium,Varoivorax
ASS_004_S2_04275,zinc|chloride|deoxycholate|sulfate|cupper|sodium,Varoivorax
ASS_004_S2_04275,zinc|chloride|deoxycholate|sulfate|cupper|sodium,Varoivorax
ASS_004_S2_04399,iron,Varoivorax
ASS_004_S2_04408,chromate,Varoivorax
ASS_004_S2_04470,sodium,Varoivorax
ASS_004_S2_04503,nickel|cobalt,Varoivorax
ASS_004_S2_04504,methionine,Varoivorax
ASS_004_S2_04568,taurine,Varoivorax
ASS_004_S2_04576,l-alanine,Varoivorax
ASS_004_S2_04653,histidine|lysine|arginine,Varoivorax
ASS_004_S2_04686,guanosine,Varoivorax
ASS_004_S2_04711,magnesium|nickel,Varoivorax
ASS_004_S2_04730,thiamine,Varoivorax
ASS_004_S2_04751,histidine|glutamine|lysine|arginine,Varoivorax
ASS_004_S2_04751,histidine|glutamine|lysine|arginine,Varoivorax
ASS_004_S2_04763,valine|leucine|serine|l-isoleucine|l-threonine|alanine,Varoivorax
ASS_004_S2_04766,gamma-aminobutyric acid,Varoivorax
ASS_004_S2_04805,allantoin,Varoivorax
ASS_004_S2_04808,xanthine,Varoivorax
ASS_004_S2_04812,stachyose|glucose|sucrose|choline|maltotetraose|maltose|maltoheptaose|raffinose|trehalose|xylose|melibiose,Varoivorax
ASS_004_S2_04812,stachyose|glucose|sucrose|choline|maltotetraose|maltose|maltoheptaose|raffinose|trehalose|xylose|melibiose,Varoivorax
ASS_004_S2_04871,hydrogen|pyruvate,Varoivorax
ASS_004_S2_04906,urea,Varoivorax
ASS_004_S2_04915,phosphate,Varoivorax
ASS_004_S2_04918,riboflavin,Varoivorax
ASS_004_S2_04961,asparagine|glutamate|glutamine,Varoivorax
ASS_004_S2_05008,molybdate|sodium,Varoivorax
ASS_004_S2_05010,molybdate,Varoivorax
ASS_004_S2_05033,fumarate|aspartate|succinate,Varoivorax
ASS_004_S2_05071,sodium,Varoivorax
ASS_004_S2_05082,choline,Varoivorax
ASS_004_S2_05084,raffinose|stachyose|melibiose,Varoivorax
ASS_004_S2_05084,raffinose|stachyose|melibiose,Varoivorax
ASS_004_S2_05084,raffinose|stachyose|melibiose,Varoivorax
ASS_004_S2_05089,tryptophan,Varoivorax
ASS_004_S2_05133,nickel,Varoivorax
ASS_004_S2_05154,chloride|deoxycholate|sulfate|sodium|thiamine,Varoivorax
ASS_004_S2_05154,chloride|deoxycholate|sulfate|sodium|thiamine,Varoivorax
ASS_004_S2_05173,gluconate,Varoivorax
ASS_004_S2_05186,iron|manganese|zinc,Varoivorax
ASS_004_S2_05259,histidine|lysine|arginine,Varoivorax
ASS_004_S2_05289,potassium,Varoivorax
ASS_004_S2_05289,potassium,Varoivorax
ASS_004_S2_05289,potassium,Varoivorax
ASS_004_S2_05313,spermidine|4-hydroxybenzoate|benzoate|acetate,Varoivorax
ASS_004_S2_05403,formate|oxalate,Varoivorax
ASS_004_S2_05544,cupper,Varoivorax
ASS_004_S2_05553,gamma-aminobutyric acid,Varoivorax
ASS_004_S2_05580,sodium,Varoivorax
ASS_004_S2_05610,arabinose|glucose|mannose|galactose|sucrose|maltose|trehalose|xylose,Varoivorax
ASS_004_S2_05613,trehalose|maltose,Varoivorax
ASS_004_S2_05751,sodium,Varoivorax
ASS_004_S2_05815,fructose,Varoivorax
ASS_004_S2_05817,n-acetylgalactosamine,Varoivorax
ASS_004_S2_05854,glycine|l-threonine|l-serine|l-alanine,Varoivorax
ASS_004_S2_05858,valine|methionine|isoleucine|leucine,Varoivorax
ASS_004_S2_05880,folate|cobalt,Varoivorax
ASS_004_S2_05894,sodium,Varoivorax
ASS_004_S2_05894,sodium,Varoivorax
ASS_004_S2_05928,glycerol,Varoivorax
ASS_004_S2_05948,potassium,Varoivorax
ASS_004_S2_06162,potassium|ferrichrome,Varoivorax
ASS_004_S2_06246,manganese,Varoivorax
ASS_004_S2_06250,phosphate,Varoivorax
ASS_004_S2_06284,potassium,Varoivorax
ASS_004_S2_06294,potassium,Varoivorax
ASS_004_S2_06499,maltotetraose|maltose|trehalose,Varoivorax
ASS_004_S2_06500,maltose|maltodextrin,Varoivorax
ASS_005_S3_00061,potassium,Flavobacterium
ASS_005_S3_00088,iron,Flavobacterium
ASS_005_S3_00109,citrate,Flavobacterium
ASS_005_S3_00167,arabinose,Flavobacterium
ASS_005_S3_00220,phosphate,Flavobacterium
ASS_005_S3_00262,iron,Flavobacterium
ASS_005_S3_00294,tyrosine|valine|methionine|leucine|serine|isoleucine|l-threonine|l-isoleucine|phenylalanine|alanine,Flavobacterium
ASS_005_S3_00381,glycine|l-threonine|l-serine|l-alanine,Flavobacterium
ASS_005_S3_00533,iron,Flavobacterium
ASS_005_S3_00609,glucose|galactose|sodium,Flavobacterium
ASS_005_S3_00677,serine,Flavobacterium
ASS_005_S3_00734,sulfate|thiamine|chloride|sodium,Flavobacterium
ASS_005_S3_00813,succinate,Flavobacterium
ASS_005_S3_00970,sodium,Flavobacterium
ASS_005_S3_00994,potassium|sodium,Flavobacterium
ASS_005_S3_00998,magnesium,Flavobacterium
ASS_005_S3_01161,potassium|zinc|cadmium,Flavobacterium
ASS_005_S3_01205,sodium,Flavobacterium
ASS_005_S3_01248,sodium,Flavobacterium
ASS_005_S3_01277,glucose|sodium,Flavobacterium
ASS_005_S3_01406,iron,Flavobacterium
ASS_005_S3_01436,sulfate|sodium,Flavobacterium
ASS_005_S3_01603,maltose,Flavobacterium
ASS_005_S3_01624,cholesterol|coenzyme a,Flavobacterium
ASS_005_S3_01687,sodium,Flavobacterium
ASS_005_S3_01708,sulfate,Flavobacterium
ASS_005_S3_01729,sulfate,Flavobacterium
ASS_005_S3_01733,formate|oxalate,Flavobacterium
ASS_005_S3_01896,nitrate,Flavobacterium
ASS_005_S3_01899,potassium|sodium,Flavobacterium
ASS_005_S3_02193,iron,Flavobacterium
ASS_005_S3_02238,tyrosine|valine|ornithine|leucine|l-isoleucine|phenylalanine|tryptophan|lysine|arginine,Flavobacterium
ASS_005_S3_02279,tyrosine|serine|l-threonine|histidine|phenylalanine|tryptophan,Flavobacterium
ASS_005_S3_02294,potassium,Flavobacterium
ASS_005_S3_02416,ammonia,Flavobacterium
ASS_005_S3_02910,cupper,Flavobacterium
ASS_005_S3_02910,cupper,Flavobacterium
ASS_005_S3_03154,potassium,Flavobacterium
ASS_005_S3_03243,sodium|calcium,Flavobacterium
ASS_005_S3_03270,sucrose,Flavobacterium
ASS_005_S3_03651,choline|glycine|betaine|l-proline,Flavobacterium
ASS_005_S3_03652,choline,Flavobacterium
ASS_005_S3_03652,choline,Flavobacterium
ASS_005_S3_03793,glycine,Flavobacterium
ASS_005_S3_03814,nadp,Flavobacterium
ASS_005_S3_03947,iron|zinc|cupper,Flavobacterium
ASS_005_S3_04054,thymidine|cytidine|xanthosine|inosine|adenosine,Flavobacterium
ASS_005_S3_04054,thymidine|cytidine|xanthosine|inosine|adenosine,Flavobacterium
ASS_005_S3_04283,methionine,Flavobacterium
ASS_005_S3_04297,urea,Flavobacterium
ASS_005_S3_04442,glutamate|phosphate|cysteine|gtp|potassium|galacturonate|sodium|glucuronate,Flavobacterium
ASS_005_S3_04488,gluconate,Flavobacterium
ASS_005_S3_04488,gluconate,Flavobacterium
ASS_005_S3_04537,glutamate|aspartate|sodium,Flavobacterium
ASS_005_S3_04621,nitrate,Flavobacterium
ASS_005_S3_04773,cellobiose,Flavobacterium
ASS_005_S3_04805,glucose|galactose|sodium,Flavobacterium
ASS_005_S3_04936,malate|fumarate|succinate,Flavobacterium
ASS_005_S3_04996,formate,Flavobacterium
ASS_005_S3_05027,chloride,Flavobacterium
ASS_005_S3_05079,coa,Flavobacterium
ASS_005_S3_05146,potassium,Flavobacterium
ASS_005_S3_05251,zinc|chloride|deoxycholate|sulfate|cupper|sodium|thiamine,Flavobacterium
ASS_005_S3_05276,glycerol,Flavobacterium
ASS_005_S3_05301,deoxycholate,Flavobacterium
ASS_005_S3_05333,iron|manganese|zinc,Flavobacterium
ASS_005_S3_05440,biotin,Flavobacterium
ASS_005_S3_05444,l-cysteine,Flavobacterium
ASS_005_S3_05474,sulfate|chloride|sodium,Flavobacterium
ASS_005_S3_05485,chloride,Flavobacterium
ASS_005_S3_05502,sodium,Flavobacterium
ASS_012_S5_00039,potassium|sodium|calcium,Microbacterium
ASS_012_S5_00062,potassium|sodium,Microbacterium
ASS_012_S5_00062,potassium|sodium,Microbacterium
ASS_012_S5_00077,iron|magnesium|zinc|cobalt|cupper|cadmium|nickel,Microbacterium
ASS_012_S5_00115,potassium|zinc|cadmium,Microbacterium
ASS_012_S5_00121,zinc|mercury|cobalt|lead|cupper|calcium|cadmium|nickel,Microbacterium
ASS_012_S5_00121,zinc|mercury|cobalt|lead|cupper|calcium|cadmium|nickel,Microbacterium
ASS_012_S5_00121,zinc|mercury|cobalt|lead|cupper|calcium|cadmium|nickel,Microbacterium
ASS_012_S5_00121,zinc|mercury|cobalt|lead|cupper|calcium|cadmium|nickel,Microbacterium
ASS_012_S5_00136,biotin,Microbacterium
ASS_012_S5_00139,choline|glycine|betaine,Microbacterium
ASS_012_S5_00140,choline|glycine|betaine|l-proline,Microbacterium
ASS_012_S5_00145,coa,Microbacterium
ASS_012_S5_00171,glycine|betaine,Microbacterium
ASS_012_S5_00188,phosphate|succinate|asparagine|fumarate|aspartate,Microbacterium
ASS_012_S5_00205,valine|l-isoleucine|leucine,Microbacterium
ASS_012_S5_00278,succinate|ornithine|sulfate|fumarate|aspartate|histidine|l-lysine|arginine,Microbacterium
ASS_012_S5_00283,thiamine,Microbacterium
ASS_012_S5_00283,thiamine,Microbacterium
ASS_012_S5_00296,glycine|sodium,Microbacterium
ASS_012_S5_00367,iron|fe3,Microbacterium
ASS_012_S5_00368,iron|molybdate,Microbacterium
ASS_012_S5_00370,manganese|zinc,Microbacterium
ASS_012_S5_00372,iron,Microbacterium
ASS_012_S5_00379,potassium,Microbacterium
ASS_012_S5_00424,uracil,Microbacterium
ASS_012_S5_00424,uracil,Microbacterium
ASS_012_S5_00428,histidine|lysine|arginine,Microbacterium
ASS_012_S5_00428,histidine|lysine|arginine,Microbacterium
ASS_012_S5_00429,glutamate|tyrosine|valine|glutamine|asparagine|l-proline|serine|l-glutamic acid|l-threonine|histidine|alanine|lysine|arginine,Microbacterium
ASS_012_S5_00435,cyanocob(iii)alamin,Microbacterium
ASS_012_S5_00435,cyanocob(iii)alamin,Microbacterium
ASS_012_S5_00436,iron,Microbacterium
ASS_012_S5_00489,thiamine,Microbacterium
ASS_012_S5_00489,thiamine,Microbacterium
ASS_012_S5_00489,thiamine,Microbacterium
ASS_012_S5_00493,pyruvate,Microbacterium
ASS_012_S5_00523,zinc,Microbacterium
ASS_012_S5_00607,ribose,Microbacterium
ASS_012_S5_00614,iron|zinc|cupper,Microbacterium
ASS_012_S5_00621,methionine|alanine,Microbacterium
ASS_012_S5_00692,sodium,Microbacterium
ASS_012_S5_00694,potassium|sodium,Microbacterium
ASS_012_S5_00701,histidine|lysine|arginine,Microbacterium
ASS_012_S5_00703,lysine,Microbacterium
ASS_012_S5_00703,lysine,Microbacterium
ASS_012_S5_00704,iron,Microbacterium
ASS_012_S5_00709,glycine,Microbacterium
ASS_012_S5_00745,heme,Microbacterium
ASS_012_S5_00747,nickel,Microbacterium
ASS_012_S5_00748,betaine|l-proline,Microbacterium
ASS_012_S5_00748,betaine|l-proline,Microbacterium
ASS_012_S5_00796,sodium,Microbacterium
ASS_012_S5_00804,sodium,Microbacterium
ASS_012_S5_00805,sodium,Microbacterium
ASS_012_S5_00812,sodium,Microbacterium
ASS_012_S5_00838,proline|glycine|leucine|serine|histidine|alanine,Microbacterium
ASS_012_S5_00839,valine|leucine|serine|l-isoleucine|l-threonine|alanine,Microbacterium
ASS_012_S5_00868,cupper,Microbacterium
ASS_012_S5_00888,guanosine,Microbacterium
ASS_012_S5_00945,turanose|glucose|maltose|d-glucosamine,Microbacterium
ASS_012_S5_00973,urea,Microbacterium
ASS_012_S5_00973,urea,Microbacterium
ASS_012_S5_00987,l-cysteine|phenylacetate|chloride|cupper,Microbacterium
ASS_012_S5_01093,potassium|chloride|sodium|cholate,Microbacterium
ASS_012_S5_01094,iron|heme,Microbacterium
ASS_012_S5_01110,nickel|l-alanine,Microbacterium
ASS_012_S5_01110,nickel|l-alanine,Microbacterium
ASS_012_S5_01113,biotin,Microbacterium
ASS_012_S5_01113,biotin,Microbacterium
ASS_012_S5_01247,arabinose,Microbacterium
ASS_012_S5_01280,sulfate,Microbacterium
ASS_012_S5_01291,cupper,Microbacterium
ASS_012_S5_01293,cupper,Microbacterium
ASS_012_S5_01293,cupper,Microbacterium
ASS_012_S5_01297,sodium,Microbacterium
ASS_012_S5_01313,citrate|calcium,Microbacterium
ASS_012_S5_01325,sodium,Microbacterium
ASS_012_S5_01327,sodium,Microbacterium
ASS_012_S5_01364,phosphate,Microbacterium
ASS_012_S5_01375,iron,Microbacterium
ASS_012_S5_01377,iron,Microbacterium
ASS_012_S5_01395,nad,Microbacterium
ASS_012_S5_01427,cupper,Microbacterium
ASS_012_S5_01456,cysteine|chloride|uridine|sulfate|sodium|deoxyuridine,Microbacterium
ASS_012_S5_01513,glycerol,Microbacterium
ASS_012_S5_01563,l-threonine|serine,Microbacterium
ASS_012_S5_01738,ammonia,Microbacterium
ASS_012_S5_01832,biotin,Microbacterium
ASS_012_S5_01889,maltose,Microbacterium
ASS_012_S5_01889,maltose,Microbacterium
ASS_012_S5_01946,nickel,Microbacterium
ASS_012_S5_01979,phosphate,Microbacterium
ASS_012_S5_02003,nitrate,Microbacterium
ASS_012_S5_02012,iron,Microbacterium
ASS_012_S5_02059,sodium,Microbacterium
ASS_012_S5_02141,chromate,Microbacterium
ASS_012_S5_02143,arsenite,Microbacterium
ASS_012_S5_02198,glutamate,Microbacterium
ASS_012_S5_02219,nickel,Microbacterium
ASS_012_S5_02241,zinc|cobalt|cupper|cadmium|nickel,Microbacterium
ASS_012_S5_02251,sodium,Microbacterium
ASS_012_S5_02258,sodium,Microbacterium
ASS_012_S5_02266,fructose,Microbacterium
ASS_012_S5_02267,d-mannitol,Microbacterium
ASS_012_S5_02267,d-mannitol,Microbacterium
ASS_012_S5_02267,d-mannitol,Microbacterium
ASS_012_S5_02268,fructose,Microbacterium
ASS_012_S5_02268,fructose,Microbacterium
ASS_012_S5_02268,fructose,Microbacterium
ASS_012_S5_02278,xylitol|arabinose|cytidine|deoxyguanosine|xanthosine|xylose,Microbacterium
ASS_012_S5_02283,succinate,Microbacterium
ASS_012_S5_02283,succinate,Microbacterium
ASS_012_S5_02313,l-methionine,Microbacterium
ASS_012_S5_02315,sodium,Microbacterium
ASS_012_S5_02319,potassium|arabinose,Microbacterium
ASS_012_S5_02319,potassium|arabinose,Microbacterium
ASS_012_S5_02322,arabinose|glucose|galactose|xylose,Microbacterium
ASS_012_S5_02340,tyrosine|gamma-aminobutyric acid|histidine|phenylalanine|tryptophan,Microbacterium
ASS_012_S5_02340,tyrosine|gamma-aminobutyric acid|histidine|phenylalanine|tryptophan,Microbacterium
ASS_012_S5_02340,tyrosine|gamma-aminobutyric acid|histidine|phenylalanine|tryptophan,Microbacterium
ASS_012_S5_02392,pyruvate|acetate|propionate,Microbacterium
ASS_012_S5_02449,glycerol|phosphate|trehalose|glucose,Microbacterium
ASS_012_S5_02472,phosphate,Microbacterium
ASS_012_S5_02637,histidine|lysine|arginine,Microbacterium
ASS_012_S5_02639,glutamate|glutamine|asparagine|ornithine|histidine|aspartate|lysine|arginine,Microbacterium
ASS_012_S5_02672,nadp,Microbacterium
ASS_012_S5_02675,butyrate|gluconate|propionate|histidine,Microbacterium
ASS_012_S5_02689,citrate,Microbacterium
ASS_012_S5_02795,riboflavin|l-threonine,Microbacterium
ASS_012_S5_02805,phosphate,Microbacterium
ASS_012_S5_02806,iron,Microbacterium
ASS_012_S5_02813,thiamine|cytosine|uracil|allantoin,Microbacterium
ASS_012_S5_02869,manganese,Microbacterium
ASS_012_S5_02869,manganese,Microbacterium
ASS_012_S5_02871,zinc,Microbacterium
ASS_012_S5_02882,inositol,Microbacterium
ASS_012_S5_02933,cysteine,Microbacterium
ASS_012_S5_02933,cysteine,Microbacterium
ASS_012_S5_02933,cysteine,Microbacterium
ASS_012_S5_02956,thiamine,Microbacterium
ASS_012_S5_03019,trehalose|melibiose,Microbacterium
ASS_012_S5_03019,trehalose|melibiose,Microbacterium
ASS_012_S5_03028,trehalose|maltose,Microbacterium
ASS_012_S5_03029,trehalose,Microbacterium
ASS_012_S5_03044,mannose,Microbacterium
ASS_012_S5_03045,xylose,Microbacterium
ASS_012_S5_03045,xylose,Microbacterium
ASS_012_S5_03078,glutamate|gamma-aminobutyric acid,Microbacterium
ASS_012_S5_03086,chloride,Microbacterium
ASS_012_S5_03121,manganese,Microbacterium
ASS_012_S5_03146,benzoate,Microbacterium
ASS_012_S5_03147,sodium,Microbacterium
ASS_012_S5_03169,cadmium,Microbacterium
ASS_012_S5_03169,cadmium,Microbacterium
ASS_012_S5_03228,arsenite,Microbacterium
ASS_012_S5_03268,iron|manganese|zinc,Microbacterium
ASS_012_S5_03305,glycine|d-alanine|d-serine|serine,Microbacterium
ASS_012_S5_03305,glycine|d-alanine|d-serine|serine,Microbacterium
ASS_012_S5_03354,nickel,Microbacterium
ASS_012_S5_03356,l-alanine,Microbacterium
ASS_012_S5_03386,putrescine|spermidine,Microbacterium
ASS_012_S5_03386,putrescine|spermidine,Microbacterium
ASS_012_S5_03397,glucose|cellobiose|sucrose,Microbacterium
ASS_015_S7_00084,iron,Mucilaginibacter
ASS_015_S7_00084,iron,Mucilaginibacter
ASS_015_S7_00090,potassium,Mucilaginibacter
ASS_015_S7_00098,sodium,Mucilaginibacter
ASS_015_S7_00129,chloride,Mucilaginibacter
ASS_015_S7_00239,sodium,Mucilaginibacter
ASS_015_S7_00278,phosphate,Mucilaginibacter
ASS_015_S7_00330,sodium,Mucilaginibacter
ASS_015_S7_00366,malate|fumarate|succinate,Mucilaginibacter
ASS_015_S7_00373,potassium|zinc|cadmium,Mucilaginibacter
ASS_015_S7_00404,sodium,Mucilaginibacter
ASS_015_S7_00446,arabinose|glucose|sodium|inositol,Mucilaginibacter
ASS_015_S7_00476,nitrate,Mucilaginibacter
ASS_015_S7_00477,nitrate,Mucilaginibacter
ASS_015_S7_00535,glycine|l-threonine|l-serine|l-alanine,Mucilaginibacter
ASS_015_S7_00537,tyrosine|valine|ornithine|leucine|l-isoleucine|phenylalanine|tryptophan|lysine|arginine,Mucilaginibacter
ASS_015_S7_00542,histidine|l-lysine|arginine,Mucilaginibacter
ASS_015_S7_00543,sodium,Mucilaginibacter
ASS_015_S7_00571,gluconate,Mucilaginibacter
ASS_015_S7_00574,adenosine|arabinose|guanosine|inosine,Mucilaginibacter
ASS_015_S7_00574,adenosine|arabinose|guanosine|inosine,Mucilaginibacter
ASS_015_S7_00596,sodium,Mucilaginibacter
ASS_015_S7_00662,l-rhamnose,Mucilaginibacter
