locus_tag,genome,substrate,TC,assembly_code,shortname
005_01627,005_S3,cholesterol|coenzyme a,2.A.6.6.11,005,Fla
005_01690,005_S3,sodium,3.A.10.1.6,005,Fla
005_01711,005_S3,sulfate,2.A.102.4.8,005,Fla
005_01732,005_S3,sulfate,3.A.1.132.14,005,Fla
005_01736,005_S3,formate|oxalate,2.A.1.11.1,005,Fla
005_01899,005_S3,nitrate,3.A.1.16.4,005,Fla
005_01902,005_S3,potassium|sodium,1.A.1.21.1,005,Fla
005_02196,005_S3,iron,3.A.1.139.2,005,Fla
005_02241,005_S3,arginine|l-isoleucine|leucine|lysine|ornithine|phenylalanine|tryptophan|tyrosine|valine,2.A.3.3.2,005,Fla
005_02282,005_S3,histidine|l-threonine|phenylalanine|serine|tryptophan|tyrosine,2.A.3.8.12,005,Fla
005_02297,005_S3,potassium,3.A.3.7.2,005,Fla
005_02318,005_S3,mannose,2.A.21.3.8,005,Fla
005_02332,005_S3,d-glucosamine,4.A.1.1.15,005,Fla
005_02365,005_S3,nad,1.A.115.1.3,005,Fla
005_02422,005_S3,ammonia,1.A.11.1.5,005,Fla
005_02541,005_S3,potassium|sodium,1.A.62.3.1,005,Fla
005_02687,005_S3,chloride,2.A.49.9.1,005,Fla
005_02916,005_S3,copper,3.A.3.27.7,005,Fla
005_02928,005_S3,sodium,3.B.1.1.2,005,Fla
005_03160,005_S3,potassium,1.A.1.24.3,005,Fla
005_03249,005_S3,calcium|sodium,2.A.36.7.1,005,Fla
005_03276,005_S3,sucrose,2.A.123.2.14,005,Fla
005_03657,005_S3,betaine|choline|glycine|l-proline,3.A.1.12.4,005,Fla
005_03658,005_S3,choline,3.A.1.12.3,005,Fla
005_03799,005_S3,glycine,2.A.102.3.4,005,Fla
005_03820,005_S3,nadp,3.D.2.2.2,005,Fla
005_03953,005_S3,copper|iron|zinc,3.A.1.15.6,005,Fla
005_04060,005_S3,adenosine|cytidine|inosine|thymidine|xanthosine,2.A.1.10.2,005,Fla
005_04277,005_S3,sodium,2.A.37.2.5,005,Fla
005_04292,005_S3,methionine,3.A.1.24.1,005,Fla
005_04306,005_S3,urea,3.A.1.4.5,005,Fla
005_04415,005_S3,arabinose|arginine|deoxycholate|histidine|lysine,2.A.1.3.2|2.A.1.3.26,005,Fla
005_04451,005_S3,cysteine|galacturonate|glucuronate|glutamate|gtp|phosphate|potassium|sodium,2.A.1.14.2,005,Fla
005_04497,005_S3,gluconate,2.A.8.1.4,005,Fla
005_04546,005_S3,aspartate|glutamate|sodium,2.A.23.1.2,005,Fla
005_04630,005_S3,nitrate,3.D.11.1.1,005,Fla
005_04782,005_S3,cellobiose,2.A.2.3.6,005,Fla
005_04814,005_S3,galactose|glucose|sodium,2.A.21.3.2,005,Fla
005_04858,005_S3,n-acetylgalactosamine,2.A.1.7.9,005,Fla
005_04948,005_S3,fumarate|malate|succinate,2.A.23.1.6,005,Fla
005_04968,005_S3,potassium,1.A.78.2.9,005,Fla
005_05008,005_S3,formate,3.D.1.9.2,005,Fla
005_05039,005_S3,chloride,3.A.1.135.7,005,Fla
005_05091,005_S3,coa,4.C.1.1.14,005,Fla
005_05158,005_S3,potassium,2.A.72.1.3,005,Fla
005_05263,005_S3,chloride|copper|deoxycholate|sodium|sulfate|thiamine|zinc,2.A.6.2.1,005,Fla
005_05288,005_S3,glycerol,1.A.8.2.9,005,Fla
005_05313,005_S3,deoxycholate,2.A.1.3.24,005,Fla
005_05345,005_S3,iron|manganese|zinc,3.A.1.15.2|3.A.1.15.20,005,Fla
005_05452,005_S3,biotin,3.A.1.25.1,005,Fla
005_05456,005_S3,l-cysteine,3.A.1.122.1,005,Fla
005_05486,005_S3,chloride|sodium|sulfate,2.A.66.1.1,005,Fla
005_05497,005_S3,chloride,1.A.13.2.3,005,Fla
005_05514,005_S3,sodium,3.A.1.115.1,005,Fla
012_00038,012_S5,deoxyuridine|uridine,2.A.1.3.37,012,Mic
012_00039,012_S5,calcium|potassium|sodium,2.A.19.1.1,012,Mic
012_00062,012_S5,potassium|sodium,2.A.63.1.1,012,Mic
012_00077,012_S5,cadmium|cobalt|copper|iron|magnesium|nickel|zinc,2.A.5.5.6,012,Mic
012_00109,012_S5,cadmium,2.A.77.1.1,012,Mic
012_00115,012_S5,cadmium|potassium|zinc,2.A.4.1.3,012,Mic
012_00121,012_S5,cadmium|calcium|cobalt|copper|lead|mercury|nickel|zinc,3.A.3.6.1|3.A.3.6.9,012,Mic
012_00136,012_S5,biotin,2.A.88.1.8,012,Mic
012_00139,012_S5,betaine|choline|glycine,3.A.1.12.15,012,Mic
012_00140,012_S5,betaine|choline|glycine|l-proline,3.A.1.12.10,012,Mic
012_00145,012_S5,coa,4.C.1.1.4,012,Mic
012_00171,012_S5,betaine|glycine,3.A.1.12.2,012,Mic
012_00188,012_S5,asparagine|aspartate|fumarate|phosphate|succinate,2.A.13.1.3,012,Mic
012_00198,012_S5,choline,3.A.1.1.50,012,Mic
012_00205,012_S5,l-isoleucine|leucine|valine,2.A.3.3.23,012,Mic
012_00278,012_S5,arginine|aspartate|fumarate|histidine|l-lysine|ornithine|succinate|sulfate,2.A.53.3.1|2.A.53.3.13,012,Mic
012_00283,012_S5,thiamine,3.A.1.19.2,012,Mic
012_00296,012_S5,glycine|sodium,2.A.15.1.7,012,Mic
012_00367,012_S5,fe3|iron,3.A.1.14.28,012,Mic
012_00368,012_S5,iron|molybdate,3.A.1.14.1|3.A.1.14.13,012,Mic
012_00370,012_S5,manganese|zinc,3.A.1.15.10,012,Mic
012_00372,012_S5,iron,3.A.1.14.3,012,Mic
012_00379,012_S5,potassium,3.A.3.7.3,012,Mic
012_00424,012_S5,uracil,2.A.40.1.1,012,Mic
012_00427,012_S5,arabinose|deoxycholate,2.A.1.3.26,012,Mic
012_00428,012_S5,arginine|histidine|lysine,3.A.1.3.17,012,Mic
012_00429,012_S5,alanine|arginine|asparagine|glutamate|glutamine|histidine|l-glutamic acid|l-proline|l-threonine|lysine|serine|tyrosine|valine,3.A.1.3.2|3.A.1.3.25,012,Mic
012_00435,012_S5,cyanocob(iii)alamin,3.A.1.14.23,012,Mic
012_00436,012_S5,iron,3.A.1.14.18,012,Mic
012_00489,012_S5,thiamine,3.A.1.30.1,012,Mic
012_00493,012_S5,pyruvate,2.A.114.1.1,012,Mic
012_00523,012_S5,zinc,3.A.24.3.1,012,Mic
012_00607,012_S5,ribose,3.A.1.2.19,012,Mic
012_00614,012_S5,copper|iron|zinc,3.A.1.15.6,012,Mic
012_00621,012_S5,alanine|methionine,2.A.22.4.3,012,Mic
012_00692,012_S5,sodium,3.A.1.115.1,012,Mic
012_00694,012_S5,potassium|sodium,2.A.38.4.2,012,Mic
012_00701,012_S5,arginine|histidine|lysine,3.A.1.3.27,012,Mic
012_00703,012_S5,lysine,3.A.1.3.20,012,Mic
012_00704,012_S5,iron,3.A.1.20.3,012,Mic
012_00709,012_S5,glycine,2.A.102.3.4,012,Mic
012_00745,012_S5,heme,3.A.1.5.27,012,Mic
012_00747,012_S5,nickel,3.A.1.5.43,012,Mic
012_00748,012_S5,betaine|l-proline,3.A.1.5.17,012,Mic
012_00764,012_S5,chloride,2.A.1.3.50,012,Mic
012_00796,012_S5,sodium,1.A.104.1.1,012,Mic
012_00804,012_S5,sodium,1.A.30.1.4,012,Mic
012_00805,012_S5,sodium,1.A.30.1.6,012,Mic
012_00812,012_S5,sodium,3.A.2.3.2,012,Mic
012_00838,012_S5,alanine|glycine|histidine|leucine|proline|serine,3.A.1.4.2,012,Mic
012_00839,012_S5,alanine|l-isoleucine|l-threonine|leucine|serine|valine,3.A.1.4.8,012,Mic
012_00868,012_S5,copper,3.A.1.132.2,012,Mic
012_00870,012_S5,l-threonine|serine,2.A.76.1.10,012,Mic
012_00888,012_S5,guanosine,2.A.40.7.2,012,Mic
012_00945,012_S5,d-glucosamine|glucose|maltose|turanose,4.A.1.1.1|4.A.1.1.15,012,Mic
012_00954,012_S5,citrate,2.A.1.6.7,012,Mic
012_00973,012_S5,urea,3.A.1.4.4,012,Mic
012_00987,012_S5,chloride|copper|l-cysteine|phenylacetate,2.A.1.2.7,012,Mic
012_01010,012_S5,acetate|citrate|glycolate|lactate|pyruvate,2.A.1.6.1,012,Mic
012_01093,012_S5,chloride|cholate|potassium|sodium,2.A.1.3.6,012,Mic
012_01094,012_S5,heme|iron,3.A.1.210.1|3.A.1.210.15,012,Mic
012_01110,012_S5,l-alanine|nickel,3.A.1.5.3,012,Mic
012_01113,012_S5,biotin,3.A.1.25.4,012,Mic
012_01247,012_S5,arabinose,2.A.1.2.14,012,Mic
012_01280,012_S5,sulfate,2.A.53.4.2,012,Mic
012_01291,012_S5,copper,3.A.3.5.31,012,Mic
012_01293,012_S5,copper,3.A.3.5.38,012,Mic
012_01297,012_S5,sodium,2.A.33.1.6,012,Mic
012_01313,012_S5,calcium|citrate,2.A.11.1.6,012,Mic
012_01325,012_S5,sodium,3.A.2.1.2,012,Mic
012_01327,012_S5,sodium,3.A.2.1.5,012,Mic
012_01364,012_S5,phosphate,2.A.20.1.6,012,Mic
012_01375,012_S5,iron,2.A.108.2.2,012,Mic
012_01377,012_S5,iron,2.A.108.2.3,012,Mic
012_01395,012_S5,nad,1.A.115.1.2,012,Mic
012_01427,012_S5,copper,2.A.1.32.3,012,Mic
012_01456,012_S5,chloride|cysteine|deoxyuridine|sodium|sulfate|uridine,2.A.1.3.3,012,Mic
012_01461,012_S5,copper,2.A.1.81.2,012,Mic
012_01513,012_S5,glycerol,1.A.8.2.6,012,Mic
012_01563,012_S5,l-threonine|serine,2.A.76.1.1,012,Mic
012_01609,012_S5,iron,2.A.89.3.1,012,Mic
012_01738,012_S5,ammonia,1.A.11.1.3,012,Mic
012_01832,012_S5,biotin,3.A.1.25.1,012,Mic
012_01885,012_S5,glycogen,1.B.77.1.7,012,Mic
012_01889,012_S5,maltose,3.A.1.5.8,012,Mic
012_01946,012_S5,nickel,3.A.1.5.24,012,Mic
012_01979,012_S5,phosphate,3.A.23.6.1,012,Mic
